"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AY1","AY2","AZ1","AZ2","ED1","GA1","GA2","GA3","GE1","GF1","KA1","MA1","MD1","MW1","REM","EQD"
"42260099999","2025-01-01T18:00:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","000500,1,9,9","+0090,1","+0090,1","10195,1",,"4,1,02,1","4,1,02,1",,,,"99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","02,99,1,00,1,99,9,99999,9,99,9,99,9",,,"9,9,999,9,-020,1","44,1","SYN05842260 31993 20000 10090 20090 40195 74444 80001 333 59020=","Q01    003SCCGA1"
"42260099999","2025-01-02T03:00:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-12","99999","V020","999,9,V,0005,1","00030,1,W,N","000049,1,9,9","+0088,1","+0088,1","10192,1",,"4,1,02,1","4,1,02,1",,,,"09,1,+99999,9,99,9",,,"9,AGL   ,+99999,+99999","09,99,1,09,1,99,9,99999,9,99,9,99,9","240,N,+0073,1",,"9,9,999,9,-012,1","45,1","SYN07442260 31990 99901 10088 20088 40192 74544 89/// 333 20073 59012 555 10000=",
"42260099999","2025-01-02T18:00:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-12","99999","V020","999,9,V,0005,1","22000,1,9,N","000200,1,9,9","+0095,1","+0095,1","10187,1",,"4,1,02,1","1,1,02,1",,,,"99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","03,99,1,00,1,99,9,99999,9,99,9,99,9",,,"9,9,999,9,-007,1","46,1","SYN05842260 31992 39901 10095 20095 40187 74641 80001 333 59007=","Q01    003SCCGA1"
"42260099999","2025-01-03T00:00:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-12","99999","V020","999,9,V,0005,1","00030,1,W,N","000049,1,9,9","+0096,1","+0096,1","10180,1",,"4,1,02,1","4,1,02,1",,,,"09,1,+99999,9,99,9",,,"9,AGL   ,+99999,+99999","09,99,1,09,1,99,9,99999,9,99,9,99,9",,,"9,9,999,9,+001,1","45,1","SYN05842260 31990 99901 10096 20096 40180 74544 89/// 333 58001=",
"42260099999","2025-01-03T03:00:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-12","99999","V020","999,9,V,0005,1","00030,1,W,N","000049,1,9,9","+0095,1","+0095,1","10202,1",,"4,1,02,1","4,1,02,1",,,,"09,1,+99999,9,99,9",,,"9,AGL   ,+99999,+99999","09,99,1,09,1,99,9,99999,9,99,9,99,9","240,N,+0061,1",,"9,9,999,9,+018,1","45,1","SYN07442260 31990 99901 10095 20095 40202 74544 89/// 333 20061 58018 555 10000=",
"42260099999","2025-01-03T03:00:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-15","99999","V020","999,9,V,0005,1","99999,9,9,N","000000,1,9,9","+0100,1","+0100,1","99999,9",,,,,,"05,U,9999,9",,,,,"09,99,1,99,9,99,9,99999,9,99,9,99,9",,"10200,1,99999,9",,"44,1","MET068METAR VIAG 030300Z VRB01KT 0000 R05/0075 FG VV/// 10/10 Q1020 NOSIG=",
"42260099999","2025-01-03T04:30:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-15","99999","V020","999,9,V,0010,1","99999,9,9,N","000000,1,9,9","+0100,1","+0100,1","99999,9",,,,,,"05,U,9999,9",,,,,"09,99,1,99,9,99,9,99999,9,99,9,99,9",,"10210,1,99999,9",,"44,1","MET068METAR VIAG 030430Z VRB02KT 0000 R05/0100 FG VV/// 10/10 Q1021 NOSIG=",
"42260099999","2025-01-03T05:00:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-15","99999","V020","999,9,V,0005,1","99999,9,9,N","000000,1,9,9","+0110,1","+0110,1","99999,9",,,,,,"05,U,9999,9",,,,,"09,99,1,99,9,99,9,99999,9,99,9,99,9",,"10210,1,99999,9",,"44,1","MET068METAR VIAG 030500Z VRB01KT 0000 R05/0125 FG VV/// 11/11 Q1021 NOSIG=",
"42260099999","2025-01-03T05:30:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-15","99999","V020","999,9,V,0010,1","99999,9,9,N","000000,1,9,9","+0110,1","+0110,1","99999,9",,,,,,"05,U,9999,9",,,,,"09,99,1,99,9,99,9,99999,9,99,9,99,9",,"10210,1,99999,9",,"44,1","MET068METAR VIAG 030530Z VRB02KT 0000 R05/0300 FG VV/// 11/11 Q1021 NOSIG=",
"42260099999","2025-01-04T12:00:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-12","99999","V020","999,9,V,0010,1","00120,1,W,N","000500,1,9,9","+0145,1","+0145,1","10152,1",,"4,1,02,1","4,1,02,1",,,,"00,1,+99999,9,99,9",,,"9,AGL   ,+99999,+99999","09,99,1,00,1,99,9,99999,9,99,9,99,9",,,"9,9,999,9,-017,1","45,1","SYN06442260 31993 99902 10145 20145 40152 74544 80000 333 10170 59017=",
